146.120.20.0/22 AS57901 # ipv4.dump:19852902
149.20.24.0/24 AS1280 # ipv4.dump:7015284
219.65.104.0/23 AS4755 # ipv4.dump:20183203
92.42.64.0/21 AS44764 # ipv4.dump:15718454
45.160.90.0/24 AS268414 # ipv4.dump:11064350
187.149.8.0/21 AS8151 # ipv4.dump:7827459
208.80.116.0/22 AS32354 # ipv4.dump:17877462
64.129.144.0/24 AS20251 # ipv4.dump:15149238
205.147.108.0/24 AS17439 # ipv4.dump:6170532
65.5.88.0/21 AS6389 # ipv4.dump:11859089
116.241.76.0/22 AS131596 # ipv4.dump:3725486
98.143.211.0/24 AS22639 # ipv4.dump:17293905
138.136.68.0/23 AS5972 # ipv4.dump:2055175
170.80.99.0/24 AS264829 # ipv4.dump:2425897
186.159.164.0/22 AS52228 # ipv4.dump:15901760
202.60.124.0/23 AS37970 # ipv4.dump:6011975
92.36.192.0/20 AS9146 # ipv4.dump:13920556
182.73.4.0/24 AS9498 # ipv4.dump:19297810
198.73.210.0/24 AS393304 # ipv4.dump:5060133
74.204.128.0/21 AS35986 # ipv4.dump:14710033
185.129.83.0/24 AS203616 # ipv4.dump:8719643
79.99.56.0/21 AS47212 # ipv4.dump:12465762
77.92.123.0/24 AS25145 # ipv4.dump:16610816
82.141.192.0/18 AS5466 # ipv4.dump:9919239
171.159.60.0/24 AS10794 # ipv4.dump:6186705
52.216.4.0/24 AS16509 # ipv4.dump:11150294
196.16.92.0/22 AS19969 # ipv4.dump:4553797
188.187.246.0/24 AS41668 # ipv4.dump:3501609
198.228.131.0/24 AS701 # ipv4.dump:10060201
168.77.75.0/24 AS3551 # ipv4.dump:6537912
201.197.64.0/23 AS11830 # ipv4.dump:12945306
105.235.103.0/24 AS36974 # ipv4.dump:20415098
217.72.60.0/23 AS45011 # ipv4.dump:7429652
185.118.72.0/22 AS47406 # ipv4.dump:11380081
109.70.187.0/24 AS44391 # ipv4.dump:6097074
116.50.78.0/23 AS38529 # ipv4.dump:15525205
177.152.66.0/24 AS262773 # ipv4.dump:9918217
116.93.48.0/23 AS23930 # ipv4.dump:15072801
172.110.58.0/24 AS396191 # ipv4.dump:13625296
182.50.255.0/24 AS45786 # ipv4.dump:20783094
199.48.177.0/24 AS20473 # ipv4.dump:9553840
85.91.120.0/23 AS28809 # ipv4.dump:12403000
213.172.0.0/19 AS20632 # ipv4.dump:4621070
150.196.85.0/24 AS747 # ipv4.dump:21064826
201.151.243.0/24 AS11172 # ipv4.dump:3121096
123.51.9.0/24 AS45510 # ipv4.dump:11847527
138.118.109.0/24 AS264257 # ipv4.dump:7184483
83.228.128.0/17 AS12350 # ipv4.dump:8421526
